segment_id,segment_family,segment_group,display_name,variant,default_min_participants,default_max_participants,default_duration_minutes,championship_allowed,winner_required,weekly_tv_booking_cost_usd,ple_ppv_booking_cost_usd,cost_tier,talent_appearance_fees_apply,championship_surcharge_usd,rivalry_surcharge_usd,base_stamina_cost,stamina_cost_per_minute,computed_default_stamina_cost,fatigue_gain,injury_risk_delta_pct,medical_risk_cost_estimate,booking_cost_multiplier,physical_risk_1_5,stipulation_intensity_1_5,spectacle_1_5,rivalry_heat_delta,crowd_buzz_delta,show_quality_weight,finance_formula_notes
M001,Match,Standard,Singles Match,One on One,2,2,12,TRUE,TRUE,22000,31000,Medium,FALSE,0,0,12,0.65,19.8,9,0.8,600,1.0,1,1,2,2,2,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M002,Match,Standard,Triple Threat,Three-way,3,3,13,TRUE,TRUE,32000,46000,High,FALSE,0,0,13,0.75,22.75,11,1.2,900,1.05,2,2,3,3,3,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M003,Match,Standard,Fatal 4-Way,Four-way,4,4,14,TRUE,TRUE,35000,51000,High,FALSE,0,0,14,0.8,25.2,12,1.5,1125,1.08,2,2,3,3,3,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M004,Match,Standard,5-Way Match,Multi-person,5,5,15,TRUE,TRUE,44000,64000,High,FALSE,0,0,15,0.85,27.75,13,1.7,1275,1.1,3,3,3,3,4,1.1,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M005,Match,Standard,6-Way Match,Multi-person,6,6,16,TRUE,TRUE,47500,69000,High,FALSE,0,0,16,0.9,30.4,14,2.0,1500,1.12,3,3,3,4,4,1.1,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M006,Match,Standard,8-Way Match,Multi-person,8,8,17,TRUE,TRUE,55000,82500,Premium,FALSE,0,0,17,1.0,34.0,16,2.5,1875,1.15,4,4,4,4,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M007,Match,Tag Team,Tag Team Match,Two on Two,4,4,12,TRUE,TRUE,25500,35500,Medium,FALSE,0,0,11,0.6,18.2,8,0.8,600,1.0,1,1,2,2,2,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M008,Match,Tag Team,Mixed Tag Team Match,Two on Two mixed,4,4,12,TRUE,TRUE,25500,35500,Medium,FALSE,0,0,11,0.6,18.2,8,0.8,600,1.0,1,1,2,2,2,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M009,Match,Tag Team,Tornado Tag,Two on Two tornado,4,4,13,TRUE,TRUE,35000,50500,High,FALSE,0,0,13,0.8,23.4,12,1.8,1350,1.08,2,2,3,3,3,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M010,Match,Tag Team,Six-Man Tag,Three on Three,6,6,14,TRUE,TRUE,37500,54500,High,FALSE,0,0,12,0.55,19.7,9,1.0,750,1.05,2,2,3,2,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M011,Match,Tag Team,Six-Man Tornado Tag,Three on Three tornado,6,6,15,TRUE,TRUE,43500,65000,Premium,FALSE,0,0,15,0.8,27.0,13,2.2,1650,1.12,3,3,4,4,4,1.1,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M012,Match,Tag Team,Eight-Man Tag,Four on Four,8,8,16,TRUE,TRUE,45000,67500,High,FALSE,0,0,13,0.55,21.8,10,1.2,900,1.08,2,2,4,3,4,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M013,Match,Tag Team,Triple Threat Tornado Tag,Three teams,6,6,15,TRUE,TRUE,44500,67000,Premium,FALSE,0,0,15,0.85,27.75,14,2.2,1650,1.15,3,3,4,4,4,1.12,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M014,Match,Tag Team,4-Way Tornado Tag,Four teams,8,8,16,TRUE,TRUE,57500,89000,Premium,FALSE,0,0,17,0.95,32.2,16,2.8,2100,1.18,4,4,5,5,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M015,Match,Handicap,Handicap Match,One on Two,3,3,10,TRUE,TRUE,22500,31500,Medium,FALSE,0,0,10,0.55,15.5,8,0.8,600,1.0,1,1,2,2,1,0.95,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M016,Match,Handicap,Handicap Tornado,One on Two tornado,3,3,11,TRUE,TRUE,31500,46000,High,FALSE,0,0,12,0.75,20.25,11,1.5,1125,1.08,2,2,3,3,2,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M017,Match,Handicap,Handicap Match,One on Three,4,4,11,TRUE,TRUE,34000,49500,High,FALSE,0,0,13,0.7,20.7,12,1.8,1350,1.1,2,2,3,3,2,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M018,Match,Handicap,Handicap Match,Two on Three,5,5,12,TRUE,TRUE,36000,52000,High,FALSE,0,0,12,0.65,19.8,10,1.2,900,1.08,2,2,3,2,2,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M019,Match,Hardcore,Extreme Rules,One on One,2,2,13,TRUE,TRUE,47000,70500,Premium,FALSE,0,0,18,1.0,31.0,18,3.0,2250,1.25,3,3,4,4,5,1.12,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M020,Match,Hardcore,Extreme Rules,Triple Threat,3,3,14,TRUE,TRUE,56500,84500,Premium,FALSE,0,0,19,1.05,33.7,19,3.5,2625,1.3,4,3,4,4,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M021,Match,Hardcore,Extreme Rules,Fatal 4-Way,4,4,15,TRUE,TRUE,67500,104500,Premium,FALSE,0,0,20,1.1,36.5,20,4.0,3000,1.35,4,4,5,5,6,1.18,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M022,Match,Hardcore,No Holds Barred,One on One,2,2,13,TRUE,TRUE,47000,70000,High,FALSE,0,0,17,0.9,28.7,16,2.8,2100,1.18,3,3,4,4,4,1.1,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M023,Match,Hardcore,Falls Count Anywhere,One on One,2,2,14,TRUE,TRUE,46500,69500,Premium,FALSE,0,0,18,1.0,32.0,17,3.2,2400,1.22,3,3,4,4,5,1.12,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M024,Match,Hardcore,Falls Count Anywhere,Triple Threat,3,3,15,TRUE,TRUE,62000,95500,Premium,FALSE,0,0,20,1.1,36.5,20,4.0,3000,1.3,4,4,5,5,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M025,Match,Hardcore,Falls Count Anywhere,Fatal 4-Way,4,4,16,TRUE,TRUE,70000,108500,Premium,FALSE,0,0,22,1.2,41.2,22,4.8,3600,1.38,4,4,5,5,6,1.18,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M026,Match,Hardcore,Bloodline Rules Match,Faction run-in rules,2,8,14,TRUE,TRUE,53500,83000,Premium,FALSE,0,0,18,0.9,30.6,16,2.5,1875,1.25,4,4,5,5,5,1.12,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M027,Match,Hardcore,Brawl,Backstage KO,2,8,10,TRUE,TRUE,46000,69000,Premium,FALSE,0,0,17,1.1,28.0,18,3.8,2850,1.22,4,3,4,4,5,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M028,Match,Hardcore,Scrapyard Brawl,Environment brawl,2,8,11,TRUE,TRUE,62500,96500,Premium,FALSE,0,0,20,1.2,33.2,22,4.5,3375,1.35,4,4,5,5,6,1.12,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M029,Match,Stipulation,Steel Cage,One on One,2,2,14,TRUE,TRUE,62500,93500,Premium,FALSE,0,0,19,1.05,33.7,20,3.5,2625,1.3,4,4,4,4,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M030,Match,Stipulation,Steel Cage,Triple Threat,3,3,15,TRUE,TRUE,77500,120500,Premium,FALSE,0,0,21,1.15,38.25,22,4.2,3150,1.38,5,4,5,5,6,1.18,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M031,Match,Stipulation,Steel Cage,Fatal 4-Way,4,4,16,TRUE,TRUE,91000,141000,Premium,FALSE,0,0,23,1.25,43.0,25,5.0,3750,1.45,5,5,5,5,6,1.2,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M032,Match,Stipulation,Hell in a Cell,One on One,2,2,18,TRUE,TRUE,111500,173000,Premium,FALSE,0,0,27,1.35,51.3,30,6.5,4875,1.65,5,5,5,6,8,1.25,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M033,Match,Stipulation,Hell in a Cell,Triple Threat,3,3,18,TRUE,TRUE,126500,196500,Premium,FALSE,0,0,29,1.45,55.1,33,7.2,5400,1.75,5,5,5,6,8,1.28,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M034,Match,Stipulation,Hell in a Cell,Fatal 4-Way,4,4,18,TRUE,TRUE,141000,218500,Premium,FALSE,0,0,31,1.55,58.9,36,8.0,6000,1.85,5,5,5,7,9,1.3,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M035,Match,Stipulation,Hell in a Cell,6-Way,6,6,20,TRUE,TRUE,167500,259500,Premium,FALSE,0,0,34,1.65,67.0,40,9.0,6750,2.0,5,5,5,8,10,1.35,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M036,Match,Stipulation,Table Match,One on One,2,2,11,TRUE,TRUE,45500,68500,High,FALSE,0,0,15,0.8,23.8,14,2.4,1800,1.15,3,3,4,4,4,1.08,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M037,Match,Stipulation,Table Match,Triple Threat,3,3,12,TRUE,TRUE,49500,74000,Premium,FALSE,0,0,16,0.85,26.2,15,2.8,2100,1.2,4,3,4,4,4,1.1,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M038,Match,Stipulation,Table Match,Fatal 4-Way,4,4,13,TRUE,TRUE,59500,92000,Premium,FALSE,0,0,17,0.9,28.7,17,3.2,2400,1.25,4,4,5,5,5,1.12,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M039,Match,Stipulation,Ladder Match,One on One,2,2,16,TRUE,TRUE,91500,142000,Premium,FALSE,0,0,24,1.25,44.0,28,5.5,4125,1.55,5,4,5,5,7,1.22,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M040,Match,Stipulation,Ladder Match,Triple Threat,3,3,17,TRUE,TRUE,108000,167500,Premium,FALSE,0,0,27,1.35,49.95,31,6.3,4725,1.65,5,5,5,6,8,1.25,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M041,Match,Stipulation,Ladder Match,Fatal 4-Way,4,4,18,TRUE,TRUE,122000,189500,Premium,FALSE,0,0,30,1.45,56.1,35,7.2,5400,1.75,5,5,5,7,9,1.3,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M042,Match,Stipulation,Ladder Match,6-Way,6,6,20,TRUE,TRUE,155000,240000,Premium,FALSE,0,0,34,1.55,65.0,40,8.5,6375,1.95,5,5,5,8,10,1.35,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M043,Match,Stipulation,Ladder Match,8-Way,8,8,22,TRUE,TRUE,185000,287000,Premium,FALSE,0,0,38,1.65,74.3,45,10.0,7500,2.1,5,5,5,9,11,1.4,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M044,Match,Stipulation,TLC Match,One on One,2,2,17,TRUE,TRUE,117500,182500,Premium,FALSE,0,0,28,1.4,51.8,33,7.0,5250,1.75,5,5,5,6,8,1.28,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M045,Match,Stipulation,TLC Match,Triple Threat,3,3,18,TRUE,TRUE,138500,214500,Premium,FALSE,0,0,31,1.5,58.0,37,8.0,6000,1.9,5,5,5,7,9,1.32,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M046,Match,Stipulation,TLC Match,Fatal 4-Way,4,4,19,TRUE,TRUE,160500,248500,Premium,FALSE,0,0,34,1.6,64.4,42,9.2,6899,2.05,5,5,5,8,10,1.35,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
