top_200_rank,wrestler_id,performer_name,promotion,brand,gender_division,role_tier,availability,game_overall,top_200_selection_score,draft_value_usd,weekly_hire_rate_usd,initial_draft_contract_scope,initial_draft_contract_weeks,initial_draft_cost_formula,midseason_min_contract_weeks,midseason_default_contract_weeks,midseason_max_contract_weeks,midseason_default_contract_total_usd,midseason_min_contract_total_usd,midseason_max_contract_total_usd,midseason_hiring_cost_formula,appearance_fee_usd,downside_guarantee_usd,release_penalty_pct,morale_cost_if_underbooked,renewal_risk,value_formula_version,value_notes,source_rating_basis,primary_roster_source_url,ratings_source_url
1,aew_aew_kenny_omega,Kenny Omega,AEW,AEW,Mens,MainEvent,Active,100,98.5,205000,19750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,237000,158000,474000,weekly_hire_rate_usd * selected_contract_weeks,9000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
2,wwe_smackdown_rhea_ripley,Rhea Ripley,WWE,SmackDown,Womens,MainEvent,Active,96,98.2,202500,19500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,234000,156000,468000,weekly_hire_rate_usd * selected_contract_weeks,9000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
3,wwe_smackdown_cody_rhodes,Cody Rhodes,WWE,SmackDown,Mens,MainEvent,Active,95,97.75,202500,19500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,234000,156000,468000,weekly_hire_rate_usd * selected_contract_weeks,8750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
4,wwe_raw_roman_reigns,Roman Reigns,WWE,Raw,Mens,MainEvent,Active,95,97.75,200000,19250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,231000,154000,462000,weekly_hire_rate_usd * selected_contract_weeks,8750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
5,wwe_raw_becky_lynch,Becky Lynch,WWE,Raw,Womens,MainEvent,Active,94,97,200000,19250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,231000,154000,462000,weekly_hire_rate_usd * selected_contract_weeks,8750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
6,aew_aew_kazuchika_okada,Kazuchika Okada,AEW,AEW,Mens,MainEvent,Active,94,96.75,197500,19000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,228000,152000,456000,weekly_hire_rate_usd * selected_contract_weeks,8750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
7,aew_aew_chris_jericho,Chris Jericho,AEW,AEW,Mens,MainEvent,Active,94,95.8,197500,19000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,228000,152000,456000,weekly_hire_rate_usd * selected_contract_weeks,8500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
8,wwe_raw_cm_punk,CM Punk,WWE,Raw,Mens,MainEvent,Active,94,95.8,195000,18750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,225000,150000,450000,weekly_hire_rate_usd * selected_contract_weeks,8500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
9,wwe_raw_seth_rollins,Seth Rollins,WWE,Raw,Mens,MainEvent,Active,94,95.8,192500,18500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,222000,148000,444000,weekly_hire_rate_usd * selected_contract_weeks,8500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
10,wwe_smackdown_bianca_belair,Bianca Belair,WWE,SmackDown,Womens,MainEvent,Active,94,95.5,192500,18500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,222000,148000,444000,weekly_hire_rate_usd * selected_contract_weeks,8500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
