expense_stream_id,display_name,trigger,base_formula,difficulty_behavior,notes
talent_draft_signing,Initial Draft Full-Season Roster Rights,During initial draft,selected_talent.draft_value_usd,Same talent prices across difficulty; starting cash creates difficulty.,One-time opening draft cost. Talent remains with the brand for the whole configured season. No signing bonus.
talent_weekly_contract,Weekly Hire Contract,Mid-game free-agent hiring,talent.weekly_hire_rate_usd * contract_weeks + optional signing_bonus,Same rates across difficulty unless modifiers are explicitly enabled.,Used after game start when hiring extra talent.
segment_booking_cost,Segment / Match Booking Cost,"Every booked match, promo, backstage angle",segment.weekly_tv_booking_cost_usd or segment.ple_ppv_booking_cost_usd,Same cost table; hard budget makes premium choices harder.,Separate from talent appearance fees.
talent_appearance_fee,Talent Appearance Fee,When a wrestler appears on a show,sum(booked_talent.appearance_fee_usd),Same rates.,Prevents spamming every star every week.
arena_rent,Arena / Venue Rent,Every show,venue.base_rent_usd * venue_prestige_multiplier,Hard mode should start with smaller venues.,Can be expanded with venue catalog later.
production_cost,Production Cost,Every show plus expensive segments,show_production_floor + sum(segment.production_surcharge),Hard mode has less forgiveness for premium production.,Large spectacle and cinematic/backstage segments cost more.
medical_followup,Medical Follow-up Cost,After injury-risk segments or injury events,segment.medical_risk_cost_estimate + injury_severity_cost,Hard mode can apply higher injury penalties.,Connects stipulation risk to cash drain.
morale_retention_bonus,Morale / Retention Bonus,When frustrated or underbooked stars negotiate,talent.weekly_hire_rate_usd * morale_bonus_multiplier,Hard mode should make morale decay more costly.,Adds business consequence to morale.
over_budget_penalty,Over-Budget Penalty,Cash below zero or reserve floor violation,abs(cash_balance) * penalty_rate + sponsor_confidence_hit,Hard mode penalty rate higher.,Use sparingly; warnings should come first.
midseason_talent_contract,Midseason Talent Scouting Contract,When hiring talent after the initial draft,selected_talent.weekly_hire_rate_usd * selected_contract_weeks,Same weekly rates across difficulty; shorter contracts help budget-constrained brands.,"No signing bonus. Contract duration can vary by scouting/hiring offer; examples include 4, 8, 12, 16, or 24 weeks depending on talent tier and availability."
